Users,ItemID1,ItemID2,ItemID3,ItemID4,ItemID5,ItemID6,ItemID7,ItemID8,ItemID9,ItemID10,ItemID11,ItemID12,ItemID13,ItemID14,ItemID15,ItemID16,ItemID17,ItemID18,ItemID19,ItemID20,ItemID21,ItemID22,ItemID23,ItemID24,ItemID25,ItemID26,ItemID27,ItemID28,ItemID29,ItemID30,ItemID31,ItemID32,ItemID33,ItemID34,ItemID35,ItemID36,ItemID37,ItemID38,ItemID39,ItemID40,ItemID41,ItemID42,ItemID43,ItemID44,ItemID45,ItemID46,ItemID47,ItemID48,ItemID49,ItemID50,ItemID51,ItemID52,ItemID53,ItemID54,ItemID55,ItemID56,ItemID57,ItemID58,ItemID59,ItemID60,ItemID61,ItemID62,ItemID63,ItemID64,ItemID65,ItemID66,ItemID67,ItemID68,ItemID69,ItemID70,ItemID71,ItemID72,ItemID73,ItemID74,ItemID75,ItemID76,ItemID77,ItemID78,ItemID79,ItemID80,ItemID81,ItemID82,ItemID83,ItemID84,ItemID85,ItemID86,ItemID87,ItemID88,ItemID89,ItemID90,ItemID91,ItemID92,ItemID93,ItemID94,ItemID95,ItemID96,ItemID97,ItemID98,ItemID99,ItemID100
UserID11,4,3,1,1,,,,2,4,2,4,1,3,3,3,1,,3,,,1,4,2,2,4,3,4,2,3,2,4,2,1,4,4,3,2,,1,4,,4,2,2,3,2,2,4,,2,1,2,2,3,4,4,4,1,,,2,1,2,4,,2,3,3,1,3,,1,,,2,,3,4,4,4,4,3,,4,3,4,1,1,3,,3,,1,2,1,2,2,,2,2
UserID12,1,2,2,4,2,2,2,,,2,,,4,2,,1,,3,1,1,4,,,4,1,3,3,,,,3,4,2,3,2,4,1,1,1,1,3,2,1,1,1,4,2,3,,4,,,4,4,2,4,,2,4,,1,1,1,3,2,2,2,3,,,3,1,2,3,1,1,2,,,3,3,1,2,1,3,2,1,,,,1,2,1,4,1,1,1,2,,4
UserID13,1,4,4,2,4,,4,1,2,3,,,,4,2,,3,,4,3,3,1,,2,3,3,2,3,3,,,4,1,2,,2,2,4,2,,,1,,,,1,1,2,4,4,2,3,2,3,,,2,,3,4,3,2,2,4,2,,,1,3,,4,1,1,,3,1,1,1,1,1,,4,3,1,,4,,,,3,2,2,3,,3,4,4,1,3,3
UserID14,3,1,,,4,4,2,2,2,1,4,4,1,1,3,,3,4,2,4,4,4,1,,4,1,1,2,2,,3,2,,1,4,3,3,2,1,4,3,,2,,4,,1,,2,1,1,1,,3,2,1,,3,1,1,4,,3,1,3,1,4,4,1,1,2,2,3,3,2,1,4,2,2,4,4,2,2,,3,,1,4,4,2,4,1,4,,,4,1,,4,3
UserID15,1,2,1,1,3,3,1,4,4,,4,4,4,2,2,3,2,1,1,,4,2,,1,,3,3,4,2,2,1,4,2,3,2,1,3,4,2,,1,3,,,3,,1,1,4,4,1,4,,1,4,1,4,3,1,1,4,1,,,2,,,2,4,2,1,,4,4,,2,4,,3,2,2,1,,2,,4,1,4,3,4,3,1,2,3,3,2,4,1,3,2
UserID16,1,2,2,4,2,3,3,4,1,4,2,,1,1,3,4,2,4,4,,2,4,4,,2,2,4,2,4,2,1,3,4,2,,2,1,3,,3,2,,3,1,2,3,2,,4,2,1,2,3,4,2,,4,4,3,2,3,,2,1,2,,3,1,1,,1,3,,3,1,4,3,,4,4,2,2,2,1,,3,3,,4,1,4,3,2,1,1,1,3,2,1,4
UserID17,2,2,2,4,2,1,,4,3,2,1,1,4,,1,3,1,2,2,3,4,4,4,3,1,3,,1,4,,,,1,3,4,4,1,4,1,1,2,4,2,3,3,,4,3,4,,4,2,,4,1,,1,3,,2,4,2,4,2,1,1,3,4,4,1,3,,3,4,1,3,2,,4,,2,2,4,4,,4,3,2,4,3,1,1,1,3,3,1,,3,4,1
UserID18,2,,3,2,2,1,4,2,3,4,4,2,,3,,2,1,,1,,1,4,3,4,2,,2,4,2,2,2,1,,4,4,2,,2,,2,2,,1,3,1,3,4,1,,4,,3,,4,3,1,3,3,1,,,2,2,,1,4,,2,2,3,2,4,,,,2,4,2,1,1,4,1,1,2,,3,2,4,3,3,4,,4,1,2,3,3,2,4,
UserID19,,1,1,,3,1,3,2,2,2,3,1,,2,2,2,4,,,1,2,4,,2,2,,3,2,3,1,4,4,1,2,,2,2,2,3,3,3,,,4,,1,1,1,,1,4,2,1,3,4,,3,2,4,1,2,,3,1,2,3,2,,2,2,4,2,3,,,1,,,4,,1,1,2,,1,1,,,,2,2,3,4,3,,4,1,4,2,1
UserID20,3,,3,2,2,2,2,4,,2,4,4,,2,1,2,2,,2,3,4,4,4,4,1,2,3,4,4,1,2,3,3,4,2,,4,,1,4,1,1,2,4,2,3,3,4,3,4,,4,4,4,,4,1,2,4,,1,1,,2,,,,3,4,1,3,,1,4,3,1,3,2,,3,4,1,4,2,,3,,,2,4,1,4,3,,1,3,2,,,
UserID21,1,,1,2,2,3,3,2,4,,4,4,,3,1,3,,2,3,1,4,1,4,1,2,2,4,,,4,2,2,1,1,2,4,2,3,4,,3,,3,1,1,3,,1,3,,1,,,3,2,2,,1,,2,,,4,4,4,1,4,2,,,2,3,,4,3,4,4,1,4,3,,4,4,4,2,,,,,1,1,2,2,4,2,1,,,3,2
UserID22,,1,2,4,,4,,2,,1,3,1,3,2,2,4,3,4,2,1,3,2,1,,2,2,1,4,,2,4,1,3,2,,,3,4,,4,4,1,,,,3,1,1,4,1,2,2,1,3,,2,1,4,3,4,4,1,,2,,1,1,,3,4,2,3,4,2,2,,2,3,1,3,,3,1,4,3,4,3,1,1,2,3,,,,,3,4,4,2,2
UserID23,4,1,,3,,2,,4,2,4,4,3,1,1,3,4,,4,2,2,3,2,2,4,4,1,3,2,3,2,3,2,2,1,4,,,3,3,4,3,,2,,3,2,,2,2,4,2,4,3,,3,3,3,2,3,4,3,,1,1,,3,1,4,1,3,,,2,2,3,2,1,2,,3,2,3,,,2,2,3,1,1,2,3,3,1,2,2,4,4,3,2,1
UserID24,4,,3,2,,4,3,4,3,1,2,4,,3,4,4,2,,4,4,4,1,,,4,4,,,2,,,4,4,1,2,1,,,,,3,,1,2,,2,4,,3,4,1,4,,2,3,4,3,3,3,1,1,,2,4,4,3,3,4,1,3,4,2,3,4,2,,2,,2,3,2,4,4,4,,2,3,1,4,,3,3,4,1,,4,1,2,3,
UserID25,2,4,4,3,3,2,2,1,,2,,3,3,3,2,3,4,,3,4,4,3,4,4,1,2,1,4,3,1,,1,4,1,,,,1,3,1,,2,,4,2,,2,2,,2,1,,4,1,2,4,2,2,4,,4,4,,3,,,,,2,,1,1,1,1,,1,3,3,4,3,2,4,3,3,4,,,,2,2,2,3,1,4,3,2,1,,,1
UserID26,3,3,3,2,3,3,3,2,1,1,3,4,,1,3,4,3,3,4,2,4,,,3,2,,,1,2,2,4,1,,1,4,4,3,1,1,,,1,2,4,2,1,2,4,,,4,4,1,,1,3,3,1,3,3,2,2,1,3,,3,3,3,4,3,1,1,1,2,2,4,4,1,2,1,1,1,,1,2,3,4,1,3,2,3,3,2,,1,,1,1,1,2
UserID27,,4,4,1,,,4,2,,4,,,2,3,3,,1,3,1,,4,4,3,3,,1,3,4,4,3,4,4,1,3,1,4,3,1,2,2,2,3,3,,2,2,3,2,2,1,4,2,,,1,4,,3,2,3,3,3,,4,,3,,3,2,,3,,4,4,1,1,3,1,,,1,,2,1,1,2,1,1,2,4,4,2,4,2,,4,,3,3,3
UserID28,4,4,,2,2,3,,4,2,2,,3,2,1,3,3,,4,4,1,,3,2,,3,2,2,3,1,,3,2,2,2,,3,1,,4,3,1,3,3,2,,1,2,2,3,2,3,2,3,2,3,4,4,,1,4,4,4,2,,4,3,,2,1,,4,1,3,1,,1,2,3,3,,1,1,3,2,2,2,3,4,3,1,4,2,1,4,1,2,2,1,1,
UserID29,1,3,4,,3,2,4,2,2,3,1,3,4,4,1,4,1,3,4,2,3,,1,4,4,2,4,,2,4,4,1,,3,1,,2,1,4,2,2,4,2,2,1,3,3,3,3,3,4,1,4,2,3,,1,2,4,2,3,3,4,1,1,1,2,4,2,3,4,3,,,2,,2,4,2,,3,2,1,,2,2,3,4,3,1,,3,1,3,3,,1,1,2,
UserID30,3,3,1,3,4,3,1,3,,2,2,2,,3,3,3,3,3,4,1,3,4,,,2,3,2,4,2,,2,4,3,4,4,1,3,1,4,,3,,1,2,,1,2,1,,3,2,2,1,,4,1,,4,4,1,3,2,2,3,3,4,3,3,1,4,4,4,1,3,1,1,,,4,1,4,4,3,4,,3,3,1,3,3,3,,1,,4,,,,3,3
UserID31,2,2,3,,1,1,1,2,3,4,3,4,2,2,1,4,2,2,3,2,1,3,2,4,4,1,,,1,,4,1,2,2,,4,1,4,4,2,3,,,2,1,4,1,4,1,2,1,4,1,3,2,3,1,,4,4,,1,1,4,,4,4,4,4,2,2,1,4,1,4,3,1,3,4,4,,3,1,4,3,1,2,4,1,1,,,3,2,,2,,,2,
UserID32,3,,1,4,,4,2,,2,,1,3,,3,,4,3,4,3,,3,1,1,4,1,,2,,4,3,1,4,1,,3,1,1,,,4,4,3,1,,3,1,3,4,1,1,2,2,3,4,4,,2,4,,2,1,3,3,1,4,4,,1,3,4,1,,4,4,2,4,3,4,1,4,3,3,,3,3,,4,3,3,1,1,3,,,4,3,1,3,2,1
UserID33,3,1,,4,2,2,2,,,1,,2,4,,1,3,1,4,4,2,2,,3,4,4,,2,3,3,,1,1,,2,1,3,,1,3,4,4,3,,1,,,,2,2,2,,2,,,1,,4,2,3,3,4,,1,4,1,3,2,3,,1,,3,3,4,4,2,2,1,3,4,,3,,2,,4,,3,2,3,1,3,2,4,1,1,3,2,4,1
UserID34,,1,1,2,4,1,1,,2,3,4,4,4,4,,4,2,1,,2,1,1,1,4,3,2,4,,1,3,1,3,2,2,2,,4,2,,,,1,1,3,,,,,4,2,4,1,3,2,,3,1,,3,,1,1,4,4,4,1,2,3,1,2,2,3,,1,1,,3,,3,1,3,3,,3,1,,4,1,1,3,3,,,,1,2,1,3,2,
UserID35,,3,,2,2,4,,,,,2,3,2,,4,3,3,,,1,3,4,4,3,2,4,2,1,1,,3,2,3,2,2,,2,,1,3,2,,3,1,3,1,1,2,1,3,,2,4,1,2,,1,1,2,2,,1,2,4,4,1,,1,4,4,1,3,2,3,,,3,1,1,,1,3,,3,,2,1,3,4,3,2,,,3,1,,4,,,1
UserID36,4,,,1,3,4,2,1,4,3,,1,4,1,1,4,1,4,2,1,4,3,3,1,2,4,1,3,2,1,4,4,4,4,4,,4,1,4,4,3,4,3,4,4,1,3,1,,2,3,1,2,1,1,3,1,1,4,4,2,1,1,3,3,,,,2,,,2,,2,2,,2,1,1,1,2,4,1,,2,3,4,3,,,,3,2,4,3,1,,1,1,3
UserID37,,1,1,2,1,1,,3,3,,1,3,3,3,,1,,4,1,,,1,,4,2,3,2,2,1,3,1,4,2,3,3,2,4,,2,1,3,3,1,1,3,3,1,2,,4,2,1,4,2,3,,4,2,1,,3,4,1,,3,,,2,3,,2,4,4,,2,2,3,,2,3,1,2,,2,4,4,4,3,3,4,1,3,,4,2,2,,4,1,1
UserID38,1,,4,,1,4,3,1,4,,2,4,3,2,4,4,2,4,3,,4,,4,1,2,1,,4,1,4,,2,,1,3,3,,3,1,4,3,3,4,,3,3,,2,4,4,4,3,3,,3,1,2,1,,2,,2,2,,,1,,,4,,1,3,1,1,3,,3,,,4,2,1,1,2,4,4,2,1,1,3,1,,2,4,2,4,4,3,1,3
UserID39,1,3,2,4,4,,2,3,4,1,4,2,,4,2,,1,2,1,1,1,3,3,3,,,1,1,,1,3,,1,3,1,2,2,1,1,2,2,,4,4,1,4,,1,2,1,1,2,,3,2,1,4,1,1,2,4,3,1,,4,,,,1,,2,4,4,3,3,1,2,2,4,2,4,1,4,3,,1,2,3,3,3,4,,4,,4,3,4,2,1,4
UserID40,1,1,3,,4,,1,4,2,3,,,3,2,,,1,3,3,4,1,3,4,3,4,4,2,,1,1,4,1,3,1,2,3,2,3,1,1,2,1,4,,,2,,2,1,,1,3,4,2,4,1,2,4,1,3,1,2,4,4,4,,,3,2,2,,,1,3,3,,4,4,4,2,1,2,3,2,,1,2,4,2,2,4,1,,3,2,4,3,1,2,3
UserID41,4,4,4,,2,3,4,3,,3,3,2,4,1,4,1,3,,3,2,4,1,3,4,1,3,3,2,,2,4,4,3,1,2,,1,1,,1,3,1,3,3,3,4,1,,3,1,2,2,1,2,2,,4,1,,4,3,3,3,2,4,,,4,,1,3,2,1,,1,1,2,,2,,4,4,3,2,1,3,2,1,1,4,1,1,3,2,2,,4,3,,2
UserID42,3,,3,2,2,3,4,3,1,2,1,4,1,4,4,1,,3,4,4,3,4,2,3,3,4,2,4,2,2,3,4,,,2,1,,3,3,1,4,,2,2,,3,2,4,4,1,2,3,1,4,3,4,,1,,2,3,1,2,2,2,,4,2,2,1,4,1,,,2,1,1,3,3,3,,1,,,2,,4,,4,3,,,3,3,1,,3,4,,4
UserID43,1,1,4,3,,3,2,4,1,,3,3,3,2,,2,2,3,2,3,4,1,1,4,3,,2,1,4,2,2,3,4,3,,2,4,1,3,3,2,2,4,1,4,4,2,2,3,,1,3,,,2,3,4,3,,,2,4,4,3,4,4,,,2,4,3,2,2,3,3,,2,3,3,4,4,,3,1,3,4,2,,1,3,,1,2,3,,,2,4,1,1
UserID44,4,4,,4,,1,1,4,2,2,2,,1,,3,4,4,,,4,3,4,2,2,3,1,,1,4,,1,,2,,1,1,3,3,4,1,1,2,3,,1,3,,2,3,4,2,3,1,3,,4,,1,4,4,2,2,1,3,3,2,,1,2,2,,1,3,1,1,,3,1,1,3,,1,4,3,,,,,,,2,3,2,,4,,3,4,2,2
UserID45,1,,2,1,1,3,4,2,3,4,,3,,4,2,1,3,2,4,1,1,2,1,1,4,,4,4,2,2,,,1,2,3,3,4,2,4,2,3,3,4,1,2,,1,2,3,,,1,,1,3,,1,1,4,3,2,3,1,1,2,1,4,1,3,4,1,2,4,3,4,4,4,2,2,3,3,1,1,3,4,1,1,,2,1,4,2,3,2,1,2,3,2,3,2
UserID46,1,2,4,,1,3,4,2,,3,3,3,1,1,3,,,4,1,1,2,3,2,,4,,,1,2,4,1,,4,1,1,2,3,2,1,2,4,2,4,4,1,1,4,,4,3,,,2,,,4,2,,2,4,4,,,,2,3,,1,2,3,,,,3,,3,1,1,2,1,2,1,,3,4,4,,4,,1,3,2,2,4,3,1,2,,2,1
UserID47,4,4,2,3,4,,,,1,2,3,2,2,,3,1,2,1,,2,4,1,,2,4,,4,2,3,2,2,3,4,3,2,1,,4,1,1,3,,4,,1,,,2,4,2,1,2,,2,4,3,,1,1,2,3,,1,1,2,3,3,2,,,,1,1,1,1,1,3,,2,2,3,1,2,1,3,2,3,,1,3,1,,,2,3,3,1,2,2,4
UserID48,4,4,1,1,3,1,1,1,3,3,,3,3,3,2,1,3,2,4,3,,,2,3,2,2,1,4,,,,,3,4,4,1,2,4,1,,1,3,4,4,4,3,4,1,,3,2,3,1,2,1,3,4,3,3,3,1,2,4,4,1,,2,2,1,3,1,2,2,1,1,,2,4,3,3,1,1,2,2,2,1,,1,2,1,,1,2,3,,3,2,,4,4
UserID49,3,2,1,3,2,,2,1,2,3,4,1,2,2,2,1,3,4,,2,1,1,2,3,4,4,3,1,1,4,,,3,4,3,1,4,4,1,,2,1,3,1,4,3,1,1,2,1,1,3,4,3,2,3,1,1,4,4,1,2,2,,1,1,,,4,,3,2,,,1,1,1,1,3,4,4,3,1,3,4,4,1,3,,,1,,1,1,,3,2,3,1,4
UserID50,,1,3,,1,1,4,1,,2,2,4,2,4,4,,1,3,,1,,2,1,3,,1,3,3,4,2,2,4,1,3,2,4,,4,,4,3,,2,2,,,,3,2,,2,,1,1,4,3,,2,4,4,1,2,1,,2,3,1,1,4,1,2,4,,4,3,4,2,4,1,3,1,2,3,4,3,1,1,3,4,3,2,,4,3,4,2,,,,2
